empresa_locacao, modelo_carro, quilometragem, ano, preco
Movida,CHEVROLET ONIX 1.0 MPFI JOY 8V FLEX 4P MANUAL,57.727,2018,R$ 35.790
Movida,CHEVROLET ONIX 1.0 MPFI JOY 8V FLEX 4P MANUAL,91.92,2017,R$ 33.890
Movida,RENAULT FLUENCE 2.0 DYNAMIQUE PLUS 16V FLEX 4P AUTOMATICO,21.257,2017,R$ 63.130
Movida,RENAULT FLUENCE 2.0 DYNAMIQUE PLUS 16V FLEX 4P AUTOMATICO,30.05,2017,R$ 61.760
Movida,RENAULT FLUENCE 2.0 DYNAMIQUE PLUS 16V FLEX 4P AUTOMATICO,29.978,2017,R$ 61.760
Movida,RENAULT FLUENCE 2.0 DYNAMIQUE PLUS 16V FLEX 4P AUTOMATICO,31.771,2017,R$ 61.760
Movida,RENAULT FLUENCE 2.0 DYNAMIQUE PLUS 16V FLEX 4P AUTOMATICO,45.383,2016,R$ 53.790
Movida,RENAULT FLUENCE 2.0 DYNAMIQUE 16V FLEX 4P AUTOMATICO,50.024,2015,R$ 50.930
Movida,RENAULT FLUENCE 2.0 DYNAMIQUE PLUS 16V FLEX 4P AUTOMATICO,32.3,2017,R$ 61.760
Movida,RENAULT FLUENCE 2.0 DYNAMIQUE PLUS 16V FLEX 4P AUTOMATICO,29.978,2017,R$ 61.760
Movida,RENAULT FLUENCE 2.0 DYNAMIQUE PLUS 16V FLEX 4P AUTOMATICO,31.076,2017,R$ 61.760
Movida,FIAT DOBLO 1.8 MPI ESSENCE 16V FLEX 4P MANUAL,38.508,2017,R$ 62.430
Movida,FIAT DOBLO 1.8 MPI ESSENCE 16V FLEX 4P MANUAL,49,2017,R$ 61.760
Movida,FIAT DOBLO 1.8 MPI ESSENCE 16V FLEX 4P MANUAL,47.309,2017,R$ 61.760
Movida,FIAT DOBLO 1.8 MPI ESSENCE 16V FLEX 4P MANUAL,56.32,2017,R$ 61.760
Movida,FIAT DOBLO 1.8 MPI ESSENCE 16V FLEX 4P MANUAL,36.8,2017,R$ 62.430
Movida,NISSAN SENTRA 2.0 SV 16V FLEX 4P AUTOMATICO,23.88,2017,R$ 74.160
Movida,CHEVROLET SPIN 1.8 LTZ 8V FLEX 4P AUTOMATICO,29.105,2018,R$ 66.530
Movida,CHEVROLET SPIN 1.8 LTZ 8V FLEX 4P AUTOMATICO,35.406,2018,R$ 65.160
Movida,CHEVROLET PRISMA 1.0 MPFI JOY 8V FLEX 4P MANUAL,38.502,2018,R$ 39.890
Movida,JEEP RENEGADE 1.8 16V FLEX SPORT 4P AUTOMATICO,39.269,2016,R$ 63.730
